"ID","time","x","y"
1,1,0.0380429113694161,0.183930435564324
1,2,-0.0261705902588572,0.23106854775138
1,3,-0.0450058556849078,0.244784061167243
1,4,-0.11675175635438,0.247624467290828
1,5,-0.0497765225770685,0.238424202527637
1,6,-0.0606529444973045,0.175490400892557
1,7,-0.050410476821268,0.144621665624535
3,7,0.450249947564395,0.0864126219981996
1,8,-0.0826380322072401,0.160004488644951
3,8,0.287108245507655,0.155636601989523
4,8,0.458565018470022,0.112307250639197
1,9,-0.109095275775801,0.217470643699338
3,9,0.347199195814794,0.128290188529497
4,9,0.49607749692886,0.0115291499297709
1,10,-0.0649281684843099,0.152539592941685
3,10,0.0243255666243637,0.198358348113445
4,10,0.383674781797861,-0.0888740742267147
5,10,0.240166077440671,0.10264758132678
1,11,-0.0785131410631505,0.245443091892879
3,11,0.0536089005774037,0.0735065968730173
4,11,0.381547625361277,-0.547801440074708
5,11,0.20365227494331,0.0692796201701887
1,12,-0.118421450122646,0.219077519881739
3,12,0.284373696819178,-0.182178947765929
4,12,0.329457725197733,-0.260775224208727
5,12,0.191338910932747,-0.0434382228405031
1,13,-0.0896398101162529,0.0989995736337936
3,13,0.412342372356869,-0.717772694807585
4,13,0.41537071928869,-0.730878180003354
5,13,0.320250187951551,-0.617227542811042
1,14,-0.113283394690989,0.214451781563324
3,14,0.410585887857454,-0.661397151211537
4,14,0.409272878635015,-0.705844049521017
5,14,0.144849327817759,-0.0923016269698234
1,15,0.164673300310292,-0.0382180796799851
3,15,0.37644188803372,-0.398741205218618
4,15,0.429003869671598,-0.689246336591675
5,15,-0.0236626295672968,0.121431102141097
1,16,-0.116647667272086,0.212283519537781
3,16,0.507104440430705,-0.439954460992259
4,16,0.50702110808996,-0.440414595486475
5,16,0.113890897366316,0.0617357756956329
6,16,0.329707654702264,0.443533433706124
1,17,-0.403821920601354,0.00335260640129404
3,17,0.503168864494933,-0.48293655129189
4,17,0.503109770746283,-0.48296609248719
5,17,0.0794418786578766,0.00679598732893104
6,17,0.291774966174738,0.432765770029897
1,18,0.0161273698018374,0.0873860333790891
3,18,0.407274295823117,-0.574726121378622
4,18,0.407760254436572,-0.574012487043033
5,18,-0.236452549333833,0.0358117518867731
6,18,0.555246430672738,0.529028782034229
1,19,0.0840610474996954,0.0934822715695275
